Èas	SOKP	Gipps	Krauss	KraussOrig	Idm
0:00	7.0	0.0	0.0	0.0	0.0
0:01	1.0	1.0	0.0	0.0	0.0
0:02	2.0	2.0	3.0	3.0	3.0
0:03	6.0	2.0	1.0	1.0	1.0
0:04	0.0	0.0	1.0	1.0	1.0
0:05	3.0	1.0	2.0	2.0	1.0
0:06	1.0	1.0	0.0	0.0	1.0
0:07	2.0	4.0	5.0	5.0	5.0
0:08	4.0	5.0	3.0	3.0	3.0
0:09	3.0	3.0	4.0	4.0	4.0
0:10	3.0	2.0	2.0	2.0	2.0
0:11	5.0	2.0	2.0	2.0	2.0
0:12	2.0	0.0	0.0	0.0	0.0
0:13	0.0	1.0	1.0	1.0	1.0
0:14	2.0	0.0	1.0	1.0	0.0
0:15	0.0	4.0	3.0	3.0	4.0
0:16	3.0	1.0	1.0	1.0	1.0
0:17	5.0	3.0	2.0	2.0	2.0
0:18	0.0	2.0	3.0	3.0	3.0
0:19	4.0	1.0	1.0	1.0	1.0
0:20	1.0	3.0	3.0	3.0	4.0
0:21	0.0	2.0	2.0	2.0	1.0
0:22	5.0	2.0	2.0	2.0	2.0
0:23	1.0	4.0	4.0	4.0	4.0
0:24	3.0	2.0	2.0	2.0	2.0
0:25	4.0	1.0	1.0	1.0	1.0
0:26	0.0	2.0	2.0	2.0	2.0
0:27	3.0	2.0	3.0	3.0	3.0
0:28	1.0	1.0	0.0	0.0	0.0
0:29	4.0	1.0	1.0	1.0	1.0
0:30	0.0	6.0	6.0	6.0	6.0
0:31	1.0	2.0	2.0	2.0	2.0
0:32	6.0	4.0	4.0	4.0	4.0
0:33	2.0	1.0	1.0	1.0	1.0
0:34	3.0	3.0	2.0	2.0	3.0
0:35	4.0	3.0	4.0	4.0	3.0
0:36	0.0	2.0	2.0	2.0	2.0
0:37	4.0	1.0	1.0	1.0	1.0
0:38	1.0	1.0	1.0	1.0	1.0
0:39	2.0	5.0	5.0	5.0	5.0
0:40	4.0	3.0	3.0	3.0	3.0
0:41	1.0	0.0	0.0	0.0	0.0
0:42	3.0	6.0	6.0	6.0	6.0
0:43	4.0	2.0	1.0	1.0	2.0
0:44	4.0	3.0	4.0	4.0	2.0
0:45	3.0	2.0	2.0	2.0	2.0
0:46	1.0	5.0	5.0	5.0	5.0
0:47	4.0	2.0	2.0	2.0	3.0
0:48	3.0	3.0	4.0	4.0	3.0
0:49	3.0	2.0	1.0	1.0	3.0
0:50	1.0	0.0	1.0	1.0	0.0
0:51	3.0	3.0	2.0	2.0	2.0
0:52	1.0	3.0	3.0	3.0	3.0
0:53	3.0	1.0	1.0	1.0	1.0
0:54	0.0	3.0	3.0	3.0	3.0
0:55	2.0	1.0	1.0	1.0	1.0
0:56	3.0	3.0	3.0	3.0	3.0
0:57	1.0	1.0	1.0	1.0	1.0
0:58	2.0	0.0	0.0	0.0	0.0
0:59	0.0	0.0	0.0	0.0	1.0
1:00	1.0	3.0	2.0	2.0	1.0
1:01	2.0	2.0	4.0	4.0	3.0
1:02	1.0	3.0	1.0	1.0	3.0
1:03	4.0	0.0	1.0	1.0	0.0
1:04	1.0	0.0	0.0	0.0	0.0
1:05	0.0	2.0	2.0	2.0	2.0
1:06	1.0	3.0	3.0	3.0	3.0
1:07	3.0	0.0	0.0	0.0	0.0
1:08	1.0	2.0	2.0	2.0	2.0
1:09	2.0	1.0	1.0	1.0	1.0
1:10	0.0	1.0	1.0	1.0	1.0
1:11	2.0	3.0	3.0	3.0	3.0
1:12	2.0	2.0	3.0	3.0	2.0
1:13	2.0	4.0	2.0	2.0	3.0
1:14	4.0	3.0	3.0	3.0	4.0
1:15	2.0	1.0	2.0	2.0	1.0
1:16	3.0	0.0	0.0	0.0	0.0
1:17	1.0	4.0	3.0	3.0	2.0
1:18	0.0	0.0	1.0	1.0	2.0
1:19	5.0	2.0	2.0	2.0	2.0
1:20	1.0	5.0	5.0	5.0	5.0
1:21	2.0	2.0	3.0	3.0	2.0
1:22	4.0	3.0	1.0	1.0	2.0
1:23	4.0	3.0	3.0	3.0	3.0
1:24	1.0	0.0	1.0	1.0	1.0
1:25	3.0	2.0	1.0	1.0	1.0
1:26	1.0	1.0	2.0	2.0	2.0
1:27	0.0	0.0	0.0	0.0	0.0
1:28	1.0	2.0	2.0	2.0	1.0
1:29	0.0	1.0	1.0	1.0	2.0
1:30	3.0	2.0	2.0	2.0	2.0
1:31	1.0	4.0	3.0	3.0	3.0
1:32	3.0	3.0	4.0	4.0	4.0
1:33	4.0	2.0	2.0	2.0	2.0
1:34	3.0	1.0	1.0	1.0	1.0
1:35	1.0	1.0	0.0	0.0	0.0
