Èas	SOKP	Gipps	Krauss	KraussOrig	Idm
0:00	3.0	3.0	3.0	3.0	3.0
0:01	1.0	1.0	1.0	1.0	1.0
0:02	1.0	1.0	1.0	1.0	1.0
0:03	1.0	1.0	1.0	1.0	1.0
0:04	1.0	1.0	1.0	1.0	1.0
0:05	5.0	5.0	5.0	5.0	5.0
0:06	3.0	3.0	3.0	3.0	3.0
0:07	4.0	4.0	4.0	4.0	4.0
0:08	2.0	2.0	2.0	2.0	2.0
0:09	2.0	2.0	2.0	2.0	2.0
0:10	0.0	0.0	0.0	0.0	0.0
0:11	1.0	1.0	1.0	1.0	1.0
0:12	0.0	0.0	0.0	0.0	0.0
0:13	4.0	4.0	4.0	4.0	4.0
0:14	1.0	1.0	1.0	1.0	1.0
0:15	2.0	2.0	2.0	2.0	2.0
0:16	3.0	3.0	3.0	3.0	3.0
0:17	1.0	1.0	1.0	1.0	1.0
0:18	3.0	3.0	3.0	3.0	3.0
0:19	2.0	2.0	2.0	2.0	2.0
0:20	2.0	2.0	2.0	2.0	2.0
0:21	4.0	4.0	4.0	4.0	4.0
0:22	2.0	2.0	2.0	2.0	2.0
0:23	1.0	1.0	1.0	1.0	1.0
0:24	2.0	2.0	2.0	2.0	2.0
0:25	3.0	3.0	3.0	3.0	3.0
0:26	0.0	0.0	0.0	0.0	0.0
0:27	1.0	1.0	1.0	1.0	1.0
0:28	6.0	6.0	6.0	6.0	6.0
0:29	2.0	2.0	2.0	2.0	2.0
0:30	4.0	4.0	4.0	4.0	4.0
0:31	1.0	1.0	1.0	1.0	1.0
0:32	3.0	3.0	3.0	3.0	3.0
0:33	3.0	3.0	3.0	3.0	3.0
0:34	2.0	2.0	2.0	2.0	2.0
0:35	1.0	1.0	1.0	1.0	1.0
0:36	1.0	1.0	1.0	1.0	1.0
0:37	5.0	5.0	5.0	5.0	5.0
0:38	3.0	3.0	3.0	3.0	3.0
0:39	0.0	0.0	0.0	0.0	0.0
0:40	6.0	6.0	6.0	6.0	6.0
0:41	2.0	2.0	2.0	2.0	2.0
0:42	3.0	3.0	3.0	3.0	3.0
0:43	2.0	2.0	2.0	2.0	2.0
0:44	5.0	5.0	5.0	5.0	5.0
0:45	2.0	2.0	2.0	2.0	2.0
0:46	3.0	3.0	3.0	3.0	3.0
0:47	2.0	2.0	2.0	2.0	2.0
0:48	1.0	1.0	1.0	1.0	1.0
0:49	2.0	2.0	2.0	2.0	2.0
0:50	3.0	3.0	3.0	3.0	3.0
0:51	1.0	1.0	1.0	1.0	1.0
0:52	3.0	3.0	3.0	3.0	3.0
0:53	1.0	1.0	1.0	1.0	1.0
0:54	3.0	3.0	3.0	3.0	3.0
0:55	1.0	1.0	1.0	1.0	1.0
0:56	0.0	0.0	0.0	0.0	0.0
0:57	0.0	0.0	0.0	0.0	0.0
0:58	2.0	2.0	2.0	2.0	2.0
0:59	3.0	3.0	3.0	3.0	3.0
1:00	3.0	3.0	3.0	3.0	3.0
1:01	0.0	0.0	0.0	0.0	0.0
1:02	0.0	0.0	0.0	0.0	0.0
1:03	2.0	2.0	2.0	2.0	2.0
1:04	3.0	3.0	3.0	3.0	3.0
1:05	0.0	0.0	0.0	0.0	0.0
1:06	2.0	2.0	2.0	2.0	2.0
1:07	1.0	1.0	1.0	1.0	1.0
1:08	1.0	1.0	1.0	1.0	1.0
1:09	3.0	3.0	3.0	3.0	3.0
1:10	2.0	2.0	2.0	2.0	2.0
1:11	3.0	3.0	3.0	3.0	3.0
1:12	3.0	3.0	3.0	3.0	3.0
1:13	2.0	2.0	2.0	2.0	2.0
1:14	0.0	0.0	0.0	0.0	0.0
1:15	3.0	3.0	3.0	3.0	3.0
1:16	1.0	1.0	1.0	1.0	1.0
1:17	2.0	2.0	2.0	2.0	2.0
1:18	5.0	5.0	5.0	5.0	5.0
1:19	2.0	2.0	2.0	2.0	2.0
1:20	2.0	2.0	2.0	2.0	2.0
1:21	3.0	3.0	3.0	3.0	3.0
1:22	1.0	1.0	1.0	1.0	1.0
1:23	1.0	1.0	1.0	1.0	1.0
1:24	2.0	2.0	2.0	2.0	2.0
1:25	0.0	0.0	0.0	0.0	0.0
1:26	1.0	1.0	1.0	1.0	1.0
1:27	2.0	2.0	2.0	2.0	2.0
1:28	2.0	2.0	2.0	2.0	2.0
1:29	3.0	3.0	3.0	3.0	3.0
1:30	4.0	4.0	4.0	4.0	4.0
1:31	2.0	2.0	2.0	2.0	2.0
1:32	1.0	1.0	1.0	1.0	1.0
1:33	0.0	0.0	0.0	0.0	0.0
1:34	1.0	1.0	1.0	1.0	1.0
1:35	3.0	3.0	3.0	3.0	3.0
1:36	0.0	0.0	0.0	0.0	0.0
1:37	1.0	1.0	1.0	1.0	1.0
1:38	2.0	2.0	2.0	2.0	2.0
1:39	3.0	3.0	3.0	3.0	3.0
1:40	2.0	2.0	2.0	2.0	2.0
1:41	0.0	0.0	0.0	0.0	0.0
1:42	1.0	1.0	1.0	1.0	1.0
1:43	3.0	3.0	3.0	3.0	3.0
1:44	0.0	0.0	0.0	0.0	0.0
1:45	1.0	1.0	1.0	1.0	1.0
1:46	2.0	2.0	2.0	2.0	2.0
1:47	1.0	1.0	1.0	1.0	1.0
1:48	1.0	1.0	1.0	1.0	1.0
1:49	2.0	2.0	2.0	2.0	2.0
1:50	0.0	0.0	0.0	0.0	0.0
