Èas	SOKP	Gipps	Krauss	KraussOrig	Idm
0:00	1.0	0.0	0.0	0.0	0.0
0:01	5.0	3.0	3.0	3.0	3.0
0:02	4.0	1.0	1.0	1.0	1.0
0:03	1.0	1.0	1.0	1.0	1.0
0:04	2.0	1.0	1.0	1.0	1.0
0:05	1.0	1.0	1.0	1.0	1.0
0:06	2.0	4.0	4.0	4.0	5.0
0:07	4.0	4.0	4.0	4.0	3.0
0:08	2.0	4.0	4.0	4.0	4.0
0:09	4.0	2.0	2.0	2.0	2.0
0:10	4.0	2.0	2.0	2.0	2.0
0:11	2.0	0.0	0.0	0.0	0.0
0:12	1.0	1.0	1.0	1.0	1.0
0:13	1.0	0.0	0.0	0.0	0.0
0:14	0.0	4.0	4.0	4.0	4.0
0:15	5.0	1.0	1.0	1.0	1.0
0:16	2.0	2.0	2.0	2.0	2.0
0:17	2.0	3.0	3.0	3.0	3.0
0:18	3.0	1.0	1.0	1.0	1.0
0:19	1.0	3.0	3.0	3.0	3.0
0:20	1.0	2.0	2.0	2.0	2.0
0:21	4.0	2.0	2.0	2.0	2.0
0:22	1.0	4.0	4.0	4.0	4.0
0:23	4.0	2.0	2.0	2.0	2.0
0:24	3.0	1.0	1.0	1.0	1.0
0:25	1.0	2.0	2.0	2.0	2.0
0:26	2.0	2.0	3.0	3.0	3.0
0:27	2.0	1.0	0.0	0.0	0.0
0:28	3.0	1.0	1.0	1.0	1.0
0:29	0.0	5.0	6.0	6.0	5.0
0:30	2.0	3.0	2.0	2.0	3.0
0:31	5.0	4.0	4.0	4.0	3.0
0:32	3.0	1.0	1.0	1.0	1.0
0:33	2.0	3.0	3.0	3.0	3.0
0:34	4.0	3.0	3.0	3.0	3.0
0:35	2.0	2.0	2.0	2.0	2.0
0:36	2.0	1.0	1.0	1.0	1.0
0:37	1.0	1.0	1.0	1.0	1.0
0:38	2.0	5.0	5.0	5.0	5.0
0:39	4.0	3.0	3.0	3.0	3.0
0:40	3.0	0.0	0.0	0.0	0.0
0:41	2.0	6.0	6.0	6.0	4.0
0:42	4.0	2.0	2.0	2.0	4.0
0:43	3.0	3.0	3.0	3.0	2.0
0:44	3.0	2.0	2.0	2.0	3.0
0:45	2.0	5.0	5.0	5.0	4.0
0:46	3.0	2.0	2.0	2.0	3.0
0:47	3.0	3.0	3.0	3.0	3.0
0:48	3.0	2.0	2.0	2.0	2.0
0:49	1.0	1.0	1.0	1.0	1.0
0:50	3.0	2.0	2.0	2.0	1.0
0:51	1.0	3.0	3.0	3.0	4.0
0:52	4.0	1.0	1.0	1.0	1.0
0:53	1.0	3.0	3.0	3.0	3.0
0:54	1.0	1.0	1.0	1.0	1.0
0:55	3.0	3.0	3.0	3.0	3.0
0:56	1.0	1.0	1.0	1.0	1.0
0:57	2.0	0.0	0.0	0.0	0.0
0:58	0.0	0.0	0.0	0.0	0.0
0:59	0.0	2.0	2.0	2.0	2.0
1:00	3.0	3.0	3.0	3.0	3.0
1:01	1.0	3.0	2.0	2.0	3.0
1:02	5.0	0.0	1.0	1.0	0.0
1:03	0.0	0.0	0.0	0.0	0.0
1:04	0.0	2.0	2.0	2.0	2.0
1:05	1.0	3.0	3.0	3.0	3.0
1:06	3.0	0.0	0.0	0.0	0.0
1:07	1.0	2.0	2.0	2.0	2.0
1:08	2.0	1.0	1.0	1.0	1.0
1:09	1.0	1.0	1.0	1.0	1.0
1:10	1.0	3.0	3.0	3.0	3.0
1:11	2.0	2.0	2.0	2.0	2.0
1:12	3.0	3.0	3.0	3.0	3.0
1:13	3.0	3.0	3.0	3.0	3.0
1:14	2.0	2.0	2.0	2.0	2.0
1:15	3.0	0.0	0.0	0.0	0.0
1:16	1.0	3.0	3.0	3.0	3.0
1:17	0.0	1.0	1.0	1.0	1.0
1:18	5.0	2.0	2.0	2.0	2.0
1:19	1.0	5.0	5.0	5.0	4.0
1:20	2.0	2.0	2.0	2.0	3.0
1:21	6.0	2.0	2.0	2.0	2.0
1:22	2.0	3.0	3.0	3.0	3.0
1:23	1.0	1.0	1.0	1.0	1.0
